IdentificatieKenmerk;Naam;Classificatie_Code;Classificatie_Omschrijving;Classificatie_Bron;Classificatie_DatumOfPeriode;Dekking_InTijd_Begin;Dekking_InTijd_Eind;Dekking_GeografischGebied;Taal;Eventgeschiedenis_DatumOfPeriode;Eventgeschiedenis_Type;Eventgeschiedenis_VerantwoordelijkeFunctionaris;Context_Actor_IdentificatieKenmerk;Context_Actor_AggregatieNiveau;Context_Actor_GeautoriseerdeNaam;Context_Activiteit_Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Integriteit
NL-0784-BV000001680;herbouwen schuur de Blommers 2 18-09-1947;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;18-9-1947;18-9-1947;de Blommers 2 5125NN Hulten;dut;18-9-1947;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;18-9-1947;Niet vertrouwelijk;18-9-1947;Openbaar;18-9-1947;Integer
NL-0784-BV000001317;verbouwen touwslagerij Dongenseweg 13 30-08-1937;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;30-8-1937;30-8-1937;Dongenseweg 13 5121PB Rijen;dut;30-8-1937;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;30-8-1937;Niet vertrouwelijk;30-8-1937;Openbaar;30-8-1937;Integer
NL-0784-BV000010283;oprichten bedrijfsruimte met kantoorruimten Ericssonstraat 32 03-09-1985;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;3-9-1985;3-9-1985;Ericssonstraat 32 5121ML Rijen;dut;3-9-1985;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;3-9-1985;Niet vertrouwelijk;3-9-1985;Openbaar;3-9-1985;Integer
NL-0784-BV000009558;oprichten hobby-bergruimte Gagelrijs 58 24-08-1982;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;24-8-1982;24-8-1982;Gagelrijs 58 5121NE Rijen;dut;24-8-1982;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;24-8-1982;Niet vertrouwelijk;24-8-1982;Openbaar;24-8-1982;Integer
NL-0784-BV000012165;bouwen twee zomerhuisjes met garage Rijense Dijk 23-06-1932;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;23-6-1932;23-6-1932;geen bijbehorende objectgegevens bekend;dut;23-6-1932;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;23-6-1932;Niet vertrouwelijk;23-6-1932;Openbaar;23-6-1932;Integer
NL-0784-BV000012722;bouwen vrijstaande houten bouwkeet Prinsenhoef 1 31-01-1979;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;31-1-1979;31-1-1979;geen bijbehorende objectgegevens bekend;dut;31-1-1979;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;31-1-1979;Niet vertrouwelijk;31-1-1979;Openbaar;31-1-1979;Integer
NL-0784-BV000015932;verbouwen van een apotheek Nieuwstraat 25 25-02-1997;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;25-2-1997;25-2-1997;geen bijbehorende objectgegevens bekend;dut;25-2-1997;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;25-2-1997;Niet vertrouwelijk;25-2-1997;Openbaar;25-2-1997;Integer
NL-0784-BV000003866;bouw toiletgebouw Heideweg 4 28-05-1962;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;28-5-1962;28-5-1962;Heideweg 4 5124NH Molenschot;dut;28-5-1962;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;28-5-1962;Niet vertrouwelijk;28-5-1962;Openbaar;28-5-1962;Integer
NL-0784-BV000000252;bouwen woonhuis met aanbouw Hengelstraat 50 18-10-1905;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;18-10-1905;18-10-1905;Hengelstraat 50 5126EB Gilze,Hengelstraat 52 5126EB Gilze;dut;18-10-1905;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;18-10-1905;Niet vertrouwelijk;18-10-1905;Openbaar;18-10-1905;Integer
NL-0784-BV000006911;plaatsen van een dakkapel Hofstad 41 25-03-1974;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;25-3-1974;25-3-1974;Hofstad 41 5126EW Gilze;dut;25-3-1974;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;25-3-1974;Niet vertrouwelijk;25-3-1974;Openbaar;25-3-1974;Integer
NL-0784-BV000005668;veranderen koestal tot ligboxenstal Hoge Aard 10 07-05-1969;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;7-5-1969;7-5-1969;Hoge Aard 10 5124RC Molenschot;dut;7-5-1969;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;7-5-1969;Niet vertrouwelijk;7-5-1969;Openbaar;7-5-1969;Integer
NL-0784-BV000000589;bouw schoenmakerij Hoofdstraat 113 03-03-1926;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;3-3-1926;3-3-1926;Hoofdstraat 113 5121JC Rijen;dut;3-3-1926;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;3-3-1926;Niet vertrouwelijk;3-3-1926;Openbaar;3-3-1926;Integer
NL-0784-BV000000023;bouwen landbouwerswoning Hoofdstraat 13 17-05-1905;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;17-5-1905;17-5-1905;Hoofdstraat 13 5121JA Rijen;dut;17-5-1905;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;17-5-1905;Niet vertrouwelijk;17-5-1905;Openbaar;17-5-1905;Integer
NL-0784-BV000001507;verbouwen woonhuis Hoofdstraat 153 10-10-1942;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;10-10-1942;10-10-1942;Hoofdstraat 153 5121JD Rijen;dut;10-10-1942;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;10-10-1942;Niet vertrouwelijk;10-10-1942;Openbaar;10-10-1942;Integer
NL-0784-BV000001921;bouwen maria kapel Hoofdstraat 168 WS 27-10-1949;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;27-10-1949;27-10-1949;Hoofdstraat 168 A 5121JJ Rijen;dut;27-10-1949;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;27-10-1949;Niet vertrouwelijk;27-10-1949;Openbaar;27-10-1949;Integer
NL-0784-BV000000378;bouwen herenhuis Hoofdstraat 35 02-05-1923;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;2-5-1923;2-5-1923;Hoofdstraat 35 5121JA Rijen,Hoofdstraat 37 5121JA Rijen,Hoofdstraat 39 5121JA Rijen;dut;2-5-1923;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;2-5-1923;Niet vertrouwelijk;2-5-1923;Openbaar;2-5-1923;Integer
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;2-7-1946;2-7-1946;Hoofdstraat 58 5121JG Rijen;dut;2-7-1946;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;2-7-1946;Niet vertrouwelijk;2-7-1946;Openbaar;2-7-1946;Integer
NL-0784-BV000006219;oprichten van een berging,c.q. berging Hoofdstraat 74 26-07-1971;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;26-7-1971;26-7-1971;Hoofdstraat 74 5121JG Rijen;dut;26-7-1971;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;26-7-1971;Niet vertrouwelijk;26-7-1971;Openbaar;26-7-1971;Integer
NL-0784-BV000001904;bouwen kolenopslagplaats Hoofdstraat 83 02-08-1949;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;2-8-1949;2-8-1949;Hoofdstraat 83 5121JB Rijen;dut;2-8-1949;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;2-8-1949;Niet vertrouwelijk;2-8-1949;Openbaar;2-8-1949;Integer
NL-0784-BV000000067;verbouwing schoolhuis Hoofdstraat 84 17-07-1907;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;17-7-1907;17-7-1907;Hoofdstraat 84 5121JG Rijen;dut;17-7-1907;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;17-7-1907;Niet vertrouwelijk;17-7-1907;Openbaar;17-7-1907;Integer
NL-0784-BV000008030;oprichten van een vrijstaande garage Hoofdstraat 87 A 22-06-1977;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;22-6-1977;22-6-1977;Hoofdstraat 87 A 5121JB Rijen,Heistraat 1 5121JK Rijen;dut;22-6-1977;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;22-6-1977;Niet vertrouwelijk;22-6-1977;Openbaar;22-6-1977;Integer
NL-0784-BV000001405;bouwen graanloods en stal Hoogstraat 7 11-07-1939;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;11-7-1939;11-7-1939;Hoogstraat 7 5126NR Gilze;dut;11-7-1939;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;11-7-1939;Niet vertrouwelijk;11-7-1939;Openbaar;11-7-1939;Integer
NL-0784-BV000000900;bouwen kippenhok Horst 36 02-07-1931;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;2-7-1931;2-7-1931;Horst 36 5126BX Gilze;dut;2-7-1931;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;2-7-1931;Niet vertrouwelijk;2-7-1931;Openbaar;2-7-1931;Integer
NL-0784-BV000009973;vergroten bestaande varkensstal Hulteneindsestraat 15 19-06-1984;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;19-6-1984;19-6-1984;Hulteneindsestraat 15 5125NH Hulten;dut;19-6-1984;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;19-6-1984;Niet vertrouwelijk;19-6-1984;Openbaar;19-6-1984;Integer
NL-0784-BV000000557;bouwen schuur met kippenhok Hulteneindsestraat 18 08-10-1925;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;8-10-1925;8-10-1925;Hulteneindsestraat 18 5125NH Hulten;dut;8-10-1925;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;8-10-1925;Niet vertrouwelijk;8-10-1925;Openbaar;8-10-1925;Integer
NL-0784-BV000012945;bouwen van een tuinderskas Hulteneindsestraat 32 01-06-1993;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;1-6-1993;1-6-1993;Hulteneindsestraat 32 5125NH Hulten;dut;1-6-1993;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;1-6-1993;Niet vertrouwelijk;1-6-1993;Openbaar;1-6-1993;Integer
NL-0784-BV000013812;plaatsen van een dakkapel Hulteneindsestraat 5 05-07-1994;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;5-7-1994;5-7-1994;Hulteneindsestraat 5 5125NH Hulten;dut;5-7-1994;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;5-7-1994;Niet vertrouwelijk;5-7-1994;Openbaar;5-7-1994;Integer
NL-0784-BV000004825;bouw 3 klassige houten school Jagilstraat 5 10-02-1966;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;10-2-1966;10-2-1966;Jagilstraat 5 5126VT Gilze;dut;10-2-1966;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;10-2-1966;Niet vertrouwelijk;10-2-1966;Openbaar;10-2-1966;Integer
NL-0784-BV000002345;vergroten parochiekerk Kapelstraat 1 WS 20-08-1953;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;20-8-1953;20-8-1953;Kapelstraat 1 5124RL Molenschot;dut;20-8-1953;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;20-8-1953;Niet vertrouwelijk;20-8-1953;Openbaar;20-8-1953;Integer
NL-0784-BV000009737;oprichten van twee geschakelde woningen met aangebouwde garages Kapelstraat 13 A 21-06-1983;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;21-6-1983;21-6-1983;Kapelstraat 13 A 5124RL Molenschot, Kapelstraat 15 5124RL Molenschot;dut;21-6-1983;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;21-6-1983;Niet vertrouwelijk;21-6-1983;Openbaar;21-6-1983;Integer
NL-0784-BV000006394;geheel oprichten van 20 woningen Kerkstraat 1 15-05-1972;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;15-5-1972;15-5-1972;Kerkstraat 1 5126GA Gilze,Kerkstraat 3 5126GA Gilze,Kerkstraat 5 5126GA Gilze,Kerkstraat 7 5126GA Gilze,Kerkstraat 9 5126GA Gilze,Kerkstraat 11 5126GAGilze,Kerkstraat 13 5126GA Gilze,Kerkstraat 15 5126GA Gilze,Kerkstraat 17 5126GA Gilze,Kerkstraat 19 5126GA Gilze,Kerkstraat 21 5126GA Gilze,Kerkstraat 23 5126GA Gilze,Kerkstraat 25 5126GA Gilze,Kerkstraat 27 5126GA Gilze,Kerkstraat 29 5126GA Gilze,Kerkstraat 31 5126GA Gilze,Kerkstraat 12 5126GC Gilze,Kerkstraat 14 5126GC Gilze,Kerkstraat 16 5126GC Gilze,Kerkstraat 18 5126GC Gilze;dut;15-5-1972;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;15-5-1972;Niet vertrouwelijk;15-5-1972;Openbaar;15-5-1972;Integer
NL-0784-BV000009029;oprichten vrijstaande woning Kerkstraat 101 17-03-1980;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;17-3-1980;17-3-1980;Kerkstraat 101 5126GB Gilze;dut;17-3-1980;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;17-3-1980;Niet vertrouwelijk;17-3-1980;Openbaar;17-3-1980;Integer
NL-0784-BV000001468;bouwen lijkenhuisje Kerkstraat 20 02-05-1941;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;2-5-1941;2-5-1941;Kerkstraat 20 5126GC Gilze;dut;2-5-1941;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;2-5-1941;Niet vertrouwelijk;2-5-1941;Openbaar;2-5-1941;Integer
NL-0784-BV000001830;bouwen woning Kerkstraat 63 11-11-1948;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;11-11-1948;11-11-1948;Kerkstraat 63 5126GB Gilze;dut;11-11-1948;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;11-11-1948;Niet vertrouwelijk;11-11-1948;Openbaar;11-11-1948;Integer
NL-0784-BV000000373;bouwen van een woonhuis Klein Zwitserland 20 07-02-1923;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;7-2-1923;7-2-1923;Klein Zwitserland 20 5126TA Gilze;dut;7-2-1923;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;7-2-1923;Niet vertrouwelijk;7-2-1923;Openbaar;7-2-1923;Integer
NL-0784-BV000001938;bouwen van kantoren en magazijn, kunstlederfabriek, lakmakerij en opslagplaats Laagstraat 26 20-01-1950;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;20-1-1950;20-1-1950;Laagstraat 26 5121ZG Rijen;dut;20-1-1950;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;20-1-1950;Niet vertrouwelijk;20-1-1950;Openbaar;20-1-1950;Integer
NL-0784-BV000007586;bouwen 21 woningwetwoningen Leibeemd 2 22-12-1976;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;22-12-1976;22-12-1976;Leibeemd 2 5121SL Rijen,Leibeemd 4 5121SL Rijen,Leibeemd 6 5121SL Rijen,Leibeemd 8 5121SL Rijen,Leibeemd 10 5121SL Rijen,Leibeemd 12 5121SL Rijen,Leibeemd 14 5121SL Rijen,Leibeemd 16 5121SL Rijen,Leibeemd 18 5121SL Rijen,Leibeemd 20 5121SL Rijen,Leibeemd 22 5121SL Rijen,Leibeemd 24 5121SL Rijen,Leibeemd 26 5121SL Rijen,Leibeemd 28 5121SL Rijen,Leibeemd 30 5121SL Rijen,Leibeemd 32 5121SL Rijen,Leibeemd 34 5121SL Rijen,Leibeemd 36 5121SL Rijen,Leibeemd 38 5121SL Rijen,Leibeemd 40 5121SL Rijen,Leibeemd 42 5121SL Rijen;dut;22-12-1976;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;22-12-1976;Niet vertrouwelijk;22-12-1976;Openbaar;22-12-1976;Integer
NL-0784-BV000008391;oprichten bloemen- en groentenkas in de achtertuin van de woning Lijndonk 7 12-04-1978;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;12-4-1978;12-4-1978;Lijndonk 7 5124RK Molenschot;dut;12-4-1978;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;12-4-1978;Niet vertrouwelijk;12-4-1978;Openbaar;12-4-1978;Integer
NL-0784-BV000004066;bouw dokterswoning Monseigneur Nolensstraat 1 25-06-1963;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;25-6-1963;25-6-1963;Monseigneur Nolensstraat 1 5121AL Rijen;dut;25-6-1963;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;25-6-1963;Niet vertrouwelijk;25-6-1963;Openbaar;25-6-1963;Integer
NL-0784-BV000004400;bouw r.k. lagere school Monseigneur Nolensstraat 2 09-09-1964;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;9-9-1964;9-9-1964;Monseigneur Nolensstraat 2 5121AM Rijen;dut;9-9-1964;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;9-9-1964;Niet vertrouwelijk;9-9-1964;Openbaar;9-9-1964;Integer
